"episode_id","shot","start","end","purpose","action","camera","ai_source_layer","deterministic_overlay","storyboard_reuse_status","asset_status","high_risk","high_risk_reason","candidate_minimum","formal_filename","candidate_a_filename","candidate_b_filename","character_reference","approval_state","actual_formal_path","actual_formal_sha256","actual_width","actual_height","actual_preview_path","actual_preview_sha256","actual_candidate_file_count","actual_independent_candidate_count","candidate_contract_status","layer_separation_status","per_shot_qa_status","residual_visual_risk","source_inventory_path","source_episode_qa_path","actual_status"
"HC20260810-001","S01","00.00","04.00","场景共鸣","餐后人物在暖光餐桌旁短暂眨眼","85mm中近景固定，缓慢推近","人物自然眨眼并轻靠椅背；餐盘保持不动","后期确定性叠加：午后犯困 / 先别归因","new","new","yes","cover+餐+盘","2","HC20260810-001-v01-S01-firstframe.png","HC20260810-001-v01-S01-candidate-a.png","HC20260810-001-v01-S01-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S01-firstframe.png","b3c852ff963fd4abbfb187b6ba1d59fab1de01d83c2101125aac671a0e681394","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S01-storyboard-with-copy.png","8455ec5708a49ec178035d2c946f497aa2954b075f31776a060c5a81a481e59a","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S02","04.00","09.20","建立多因素问题","人物抬眼看向窗光，手离开餐盘","侧后方中景，光线切换硬切","人物只做抬眼动作；背景无新增物","后期确定性叠加：三个场景放一起看","new","new","yes","手+餐+盘","2","HC20260810-001-v01-S02-firstframe.png","HC20260810-001-v01-S02-candidate-a.png","HC20260810-001-v01-S02-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S02-firstframe.png","3216d4be1eac7717e2d0eff24b6bc8926027ea58aacb2ec110e58772fe104870","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S02-storyboard-with-copy.png","191690cb2a4dae52471f6a2c8dd9360a8ac40e1bbd718470a76e0a4b2ac9c787","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S03","09.20","14.40","观察昨晚","家中夜晚关灯与早晨拉帘用两段静态板呈现","无相机运动，确定性双板切换","无AI动态源；使用品牌色生活剪影","后期确定性叠加：昨晚大致睡起时点","deterministic-board","deterministic-board","no","","1","HC20260810-001-v01-S03-firstframe.png","HC20260810-001-v01-S03-candidate-a.png","","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S03-firstframe.png","0227b931e1253e161a2b4b67f21e34ff8875a4a0a3b58da3c1289be7b89efe58","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S03-storyboard-with-copy.png","f07a26f3293957bb7d883c6273c032a74a3c41a993fe0252820908abe170fd20","1","1","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S04","14.40","19.80","观察午餐","餐桌同一人物放慢一口后停下餐具","俯侧45度近景，餐具与手同框","人物只完成放下餐具一个动作","后期确定性叠加：午餐速度 / 停下时感受","new","new","yes","手+餐+餐具","2","HC20260810-001-v01-S04-firstframe.png","HC20260810-001-v01-S04-candidate-a.png","HC20260810-001-v01-S04-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S04-firstframe.png","47a195c23d5317a9c78173621fa11f5f7216ba55e4edafc79d199cd1c45c436b","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S04-storyboard-with-copy.png","22c785e1ce08cd01eb52406fb6043f70c3283558a927101ffbe9b1fdb9b13a8b","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S05","19.80","25.20","观察饭后","人物从餐椅起身，朝客厅方向迈一步","全身中景，小幅横移跟随","人物起身并迈一步；方向固定","后期确定性叠加：一直坐着 / 轻松动过","new","new","yes","餐+饭","2","HC20260810-001-v01-S05-firstframe.png","HC20260810-001-v01-S05-candidate-a.png","HC20260810-001-v01-S05-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S05-firstframe.png","dff77f067c2c0efa0302617c9e39ab3086f96db7819bd1c6327ebbaa7444811d","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S05-storyboard-with-copy.png","a3f85dcec6e2b81bd52bc189811c5da1d8420e330112e02a927a2e83d1f906cd","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S06","25.20","30.60","执行三项点选","人物手持黑屏手机，拇指点按三个空白位置","越肩近景固定，屏幕不反光","黑屏手机与单手点按；不生成界面","后期确定性叠加：后期中性三项点选","new","new","yes","手+手机+屏幕","2","HC20260810-001-v01-S06-firstframe.png","HC20260810-001-v01-S06-candidate-a.png","HC20260810-001-v01-S06-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S06-firstframe.png","fe7abb38c27bd634d9df083217496f8093a3fcb79575724365e58ca7aa7e2c8b","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S06-storyboard-with-copy.png","f51c013d9e790c1cb90ceec3300178f87686a50f41fae08be78d5936bf3935f3","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S07","30.60","36.20","记录感受","人物放下手机，闭眼感受片刻","正面中近景，轻微后拉","人物只做放下手机与一次自然呼吸","后期确定性叠加：一次记录只是一条线索","safe-reuse","new","yes","手+手机","2","HC20260810-001-v01-S07-firstframe.png","HC20260810-001-v01-S07-candidate-a.png","HC20260810-001-v01-S07-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S07-firstframe.png","c398e1370f6237b6de9104aa0c42377c45e1e4275a4f544d1f1cf3a80cdd3c91","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S07-storyboard-with-copy.png","070e6dcea2fe57f5243bb00a6bfbe3ef111a2d407ff20f62c0b4e79ef52303f3","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S08","36.20","42.00","重复比较","三次不同日光色块并列，人物剪影保持一致","无相机运动，确定性信息板","无AI动态源；纯色日光与人物剪影","后期确定性叠加：只和自己的重复场景比","deterministic-board","deterministic-board","no","","1","HC20260810-001-v01-S08-firstframe.png","HC20260810-001-v01-S08-candidate-a.png","","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S08-firstframe.png","082cc1c38ad7f81ebd982c68c9234daa744d35da476fb74ed521d8aeb75f70f1","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S08-storyboard-with-copy.png","e49d6c1ac1147b349646b8765b41864f209df8d914226ff09815794308c77d9a","1","1","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S09","42.00","48.50","安全边界","人物把车钥匙放回置物盘并走向沙发","腰部中景，先定后短跟","人物放下钥匙后离开一步","后期确定性叠加：难以清醒 / 先停下休息","new","new","yes","钥匙+车钥匙+盘","2","HC20260810-001-v01-S09-firstframe.png","HC20260810-001-v01-S09-candidate-a.png","HC20260810-001-v01-S09-candidate-b.png","character-reference-v01.png","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S09-firstframe.png","b51e031d10ddc622459079fa4df77b52fa9e48a813203a645834a8cd93d420ef","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S09-storyboard-with-copy.png","950135c5cef3cf1b42e2f46143e14824d4177c24496df7485ca093870e0e749e","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","CLOSED-preview-safe-zone-2026-08-14: deterministic copy board repositioned; subject/action restored; formal image unchanged.","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
"HC20260810-001","S10","48.50","54.00","保存理由","品牌暖米白结束卡，三枚青绿圆点依次出现","无相机运动","无AI动态源；纯确定性结束板","后期确定性叠加：三项观察 / 下次查看入口","deterministic-board","deterministic-board","no","","1","HC20260810-001-v01-S10-firstframe.png","HC20260810-001-v01-S10-candidate-a.png","","not-applicable","matrix-locked-pending-generation","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/HC20260810-001-v01-S10-firstframe.png","a8f85b8463f4443994e585409aeda160aa3ede74725c0bd643bcc96979f2bae4","1080","1920","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/storyboard_with_copy/HC20260810-001-v01-S10-storyboard-with-copy.png","4c192dec28970210608cfe8c6c512db39aa4316d9d5cc2659b5a8345c9debb61","2","2","PASS","PASS-separated","local-mechanical-pass;candidate-pass;pending-independent-final-review","","09_泛健康日更/work/HC20260810-001/production/v01/03_first_frames/asset-inventory-v01.csv","09_泛健康日更/work/HC20260810-001/production/v01/05_qa/first-frame-qa-v01.md","verified-current-disk"
