shot,formal_file,formal_sha256,selected_candidate,selected_candidate_sha256,candidate_count,rejected_candidates,decision_note
S01,HC20260810-006-v01-S01-firstframe.png,bb69eac4f625277a5b4cae88930d332d89fa665eaa2442d720a9b451a4989229,base/HC20260810-006-v01-S01-candidate-c-phone-audit-selected-source.png,e8fdb036b55abee2ee468f5e7ac637d186c10022bdbaaf959525eda4ae81e8d3,3,"_rejected/HC20260810-006-v01-S01-candidate-b.png; _rejected/HC20260810-006-v01-S01-old-formal-rejected-phone-ratio-1.68-screen-artifacts.png","Phone-audit C keeps one complete unbranded phone with a solid deep-teal screen in the sofa scene; 3 independent generated sources; archived old formal is excluded from candidate_count"
S02,HC20260810-006-v01-S02-firstframe.png,20a14d22ade2122be92f23655185bab3989fed4297de61867b0d795afc64c616,base/HC20260810-006-v01-S02-candidate-a.png,e9a6f53ac4d5fbef841325b3dc38e0596b310e34eced410c00d0bf122182dacd,1,,"single deterministic text-free phase board passed"
S03,HC20260810-006-v01-S03-firstframe.png,60de6bec80a1df458d969ca5dea06462e87b04b8313e36922837217cf3e11128,base/HC20260810-006-v01-S03-candidate-b.png,f54e757c67d07730cdbee8a9d2f49ece2a0eecdf8dfd260d7a0aa4dcb88fa172,2,_rejected/HC20260810-006-v01-S03-candidate-a.png,"B gives a clearer standing cushion adjustment and leaves the phone untouched"
S04,HC20260810-006-v01-S04-firstframe.png,36df82d591b4f379ef6aa15a46d7c3d3ec6837a8d9c627e02eea470d304371ce,base/HC20260810-006-v01-S04-candidate-a.png,e6ad7339edee2ca5124406f45e08aa15b58433a705f9f7d46a3f7bb9d16ecd3e,1,,"single quiet side-profile resting frame passed"
S05,HC20260810-006-v01-S05-firstframe.png,43e64290ae7dad7d101e4aeac18425c466d4f42df51b74dbb11c3c289b29b73d,base/HC20260810-006-v01-S05-candidate-c-phone-audit-selected-source.png,ff6464db11a9a1e4d39a98c610728db5e8fb509ea5dc9966a4ace5f4c192b8e1,3,"_rejected/HC20260810-006-v01-S05-candidate-b.png; _rejected/HC20260810-006-v01-S05-old-formal-rejected-silver-stylus-device-ghost.png","Phone-audit C shows the wake-and-window action with one untouched phone flat on the table and no stylus/device ghost; 3 independent generated sources; archived old formal is excluded from candidate_count"
S06,HC20260810-006-v01-S06-firstframe.png,f5681f85197e05004527028eb3752087183ed0f3c3e29b8aa9930cb0dfbde5b8,base/HC20260810-006-v01-S06-candidate-h-phone-adjudication-selected-source.png,524c31499a80ba096d14e8bf7b43d4e59d401f8e0493a895023607cd880a191c,7,"_rejected/HC20260810-006-v01-S06-candidate-a.png; _rejected/HC20260810-006-v01-S06-candidate-b.png; _rejected/HC20260810-006-v01-S06-candidate-d-rejected-phone-ratio-2.30.png; _rejected/HC20260810-006-v01-S06-candidate-f-rejected-screen-ratio-2.30.png; _rejected/HC20260810-006-v01-S06-candidate-g-rejected-screen-gradient-outer-2.05-screen-2.12.png; _rejected/HC20260810-006-v01-S06-candidate-edit02-rejected-dimension-and-non-screen-drift.png; _rejected/HC20260810-006-v01-S06-old-formal-e-replaced-by-adjudicated-h.png; _rejected/HC20260810-006-v01-S06-old-formal-rejected-phone-ratio-2.40.png","Selected H is the former G-only edit01 evidence, moved from _rejected into base without duplicate bytes after independent original-resolution visual adjudication. Outer body is approximately 2.05 and screen approximately 2.12; the deep-teal screen is visually uniform, all corners/bezel are complete, and the pointing finger remains outside the screen. Whole-image resampling changed pixel values but did not constitute visible object or scene drift, so the earlier pixel-only rejection is superseded. candidate_count remains 7 because H is derived from independent source G rather than a new independent generation; archived old formals are excluded"
S07,HC20260810-006-v01-S07-firstframe.png,8ef36806244aa23ec5c2de5b6352ac4cdedc441ea4e5d4a0e4884703c1c3c7fd,base/HC20260810-006-v01-S07-candidate-b.png,90375d112fd9e0eb6f3f8e0369755fb3bc0db04c2d1ee6b8c4be75d76d074922,2,_rejected/HC20260810-006-v01-S07-candidate-a.png,"B clearly shows exactly one fob and one metal key in the tray"
S08,HC20260810-006-v01-S08-firstframe.png,3b87681f9f908d12f5810ad567b3d95352d7907432458e11dd3d6072fbca223f,base/HC20260810-006-v01-S08-candidate-b.png,2be37844a6da2e09fc556a898a0894700f752cf691c63f2d988079060a220425,2,_rejected/HC20260810-006-v01-S08-candidate-a.png,"B gives a closer single-action phone placement with a blank black display"
S09,HC20260810-006-v01-S09-firstframe.png,88b13bc976ce3192467d267dddc7536c870200c0a5c369cff1b268dccfcc4b8c,base/HC20260810-006-v01-S09-candidate-a.png,ce805e1b836cd8c14a25484666146cf50754e769499a39efba1d9cb7992e2b2f,1,,"single three-panel same-person state board passed"
S10,HC20260810-006-v01-S10-firstframe.png,6da9004450024f7c3df3fffe3e0e18fdf3f1d3751327855dbb2abe78f68ddadd,base/HC20260810-006-v01-S10-candidate-b.png,cfdb9d046d41f19b14355e869aa4047edd608399e457ba68f3eed7a945b3049f,2,_rejected/HC20260810-006-v01-S10-candidate-a.png,"B uses a broad top-down path and separated markers rather than an ascending curve"
