episode_id,shot,start,end,purpose,action,camera,ai_source_layer,deterministic_overlay,storyboard_reuse_status,asset_status,high_risk,high_risk_reason,candidate_minimum,formal_filename,candidate_a_filename,candidate_b_filename,character_reference,approval_state
HC20260810-001,S01,00.00,04.00,场景共鸣,餐后人物在暖光餐桌旁短暂眨眼,85mm中近景固定，缓慢推近,人物自然眨眼并轻靠椅背；餐盘保持不动,后期确定性叠加：午后犯困 / 先别归因,new,new,yes,cover+餐+盘,2,HC20260810-001-v01-S01-firstframe.png,HC20260810-001-v01-S01-candidate-a.png,HC20260810-001-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S02,04.00,09.20,建立多因素问题,人物抬眼看向窗光，手离开餐盘,侧后方中景，光线切换硬切,人物只做抬眼动作；背景无新增物,后期确定性叠加：三个场景放一起看,new,new,yes,手+餐+盘,2,HC20260810-001-v01-S02-firstframe.png,HC20260810-001-v01-S02-candidate-a.png,HC20260810-001-v01-S02-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S03,09.20,14.40,观察昨晚,家中夜晚关灯与早晨拉帘用两段静态板呈现,无相机运动，确定性双板切换,无AI动态源；使用品牌色生活剪影,后期确定性叠加：昨晚大致睡起时点,deterministic-board,deterministic-board,no,,1,HC20260810-001-v01-S03-firstframe.png,HC20260810-001-v01-S03-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-001,S04,14.40,19.80,观察午餐,餐桌同一人物放慢一口后停下餐具,俯侧45度近景，餐具与手同框,人物只完成放下餐具一个动作,后期确定性叠加：午餐速度 / 停下时感受,new,new,yes,手+餐+餐具,2,HC20260810-001-v01-S04-firstframe.png,HC20260810-001-v01-S04-candidate-a.png,HC20260810-001-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S05,19.80,25.20,观察饭后,人物从餐椅起身，朝客厅方向迈一步,全身中景，小幅横移跟随,人物起身并迈一步；方向固定,后期确定性叠加：一直坐着 / 轻松动过,new,new,yes,餐+饭,2,HC20260810-001-v01-S05-firstframe.png,HC20260810-001-v01-S05-candidate-a.png,HC20260810-001-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S06,25.20,30.60,执行三项点选,人物手持黑屏手机，拇指点按三个空白位置,越肩近景固定，屏幕不反光,黑屏手机与单手点按；不生成界面,后期确定性叠加：后期中性三项点选,new,new,yes,手+手机+屏幕,2,HC20260810-001-v01-S06-firstframe.png,HC20260810-001-v01-S06-candidate-a.png,HC20260810-001-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S07,30.60,36.20,记录感受,人物放下手机，闭眼感受片刻,正面中近景，轻微后拉,人物只做放下手机与一次自然呼吸,后期确定性叠加：一次记录只是一条线索,safe-reuse,new,yes,手+手机,2,HC20260810-001-v01-S07-firstframe.png,HC20260810-001-v01-S07-candidate-a.png,HC20260810-001-v01-S07-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S08,36.20,42.00,重复比较,三次不同日光色块并列，人物剪影保持一致,无相机运动，确定性信息板,无AI动态源；纯色日光与人物剪影,后期确定性叠加：只和自己的重复场景比,deterministic-board,deterministic-board,no,,1,HC20260810-001-v01-S08-firstframe.png,HC20260810-001-v01-S08-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-001,S09,42.00,48.50,安全边界,人物把车钥匙放回置物盘并走向沙发,腰部中景，先定后短跟,人物放下钥匙后离开一步,后期确定性叠加：难以清醒 / 先停下休息,new,new,yes,钥匙+车钥匙+盘,2,HC20260810-001-v01-S09-firstframe.png,HC20260810-001-v01-S09-candidate-a.png,HC20260810-001-v01-S09-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-001,S10,48.50,54.00,保存理由,品牌暖米白结束卡，三枚青绿圆点依次出现,无相机运动,无AI动态源；纯确定性结束板,后期确定性叠加：三项观察 / 下次查看入口,deterministic-board,deterministic-board,no,,1,HC20260810-001-v01-S10-firstframe.png,HC20260810-001-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-002,S01,00.00,04.00,双行为钩子,办公室休息区同一餐盒，左侧匆匆动作、右侧从容动作,垂直分屏固定，两侧同景别,两段独立人物源各完成一次进餐动作,后期确定性叠加：同份午餐 / 两种速度,new,new,yes,cover+餐,2,HC20260810-002-v01-S01-firstframe.png,HC20260810-002-v01-S01-candidate-a.png,HC20260810-002-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S02,04.00,09.40,限定观察变量,两侧画面同步停在相同剩余份量,分屏静止，后期对齐构图,无AI动态源；两张验收帧确定性并列,后期确定性叠加：先别预设结果,deterministic-board,deterministic-board,no,,1,HC20260810-002-v01-S02-firstframe.png,HC20260810-002-v01-S02-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-002,S03,09.40,14.80,观察时长,人物从第一口开始，桌侧日光缓慢移动,餐桌侧面中景固定,人物完成一口自然进餐,后期确定性叠加：大致进餐时长,new,new,yes,餐,2,HC20260810-002-v01-S03-firstframe.png,HC20260810-002-v01-S03-candidate-a.png,HC20260810-002-v01-S03-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S04,14.80,20.20,中途停顿,人物吃到中途主动放下餐具,餐具近景后切人物中景,人物只做放下餐具动作,后期确定性叠加：中途停一下,new,new,yes,餐+餐具,2,HC20260810-002-v01-S04-firstframe.png,HC20260810-002-v01-S04-candidate-a.png,HC20260810-002-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S05,20.20,25.60,回办公位后的自觉,人物回到普通办公位坐下，双手离开键盘后短暂停顿,办公位侧面中景，落座后保持固定,人物只完成落座并停顿一次,后期确定性叠加：清醒 / 专注的主观感受,new,new,yes,手+盘+键盘,2,HC20260810-002-v01-S05-firstframe.png,HC20260810-002-v01-S05-candidate-a.png,HC20260810-002-v01-S05-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S06,25.60,31.10,呈现最小尝试,人物视线在餐盘与自己之间短暂移动,眼平中近景，轻微推近,人物只做一次视线移动,后期确定性叠加：已经够了吗,new,new,yes,餐+盘,2,HC20260810-002-v01-S06-firstframe.png,HC20260810-002-v01-S06-candidate-a.png,HC20260810-002-v01-S06-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S07,31.10,36.70,确定动作,人物停顿后把餐具平放在盘边,餐盘俯拍近景固定,人物只完成一次放平餐具动作,后期确定性叠加：继续或停下由后期两分支板表达,new,new,yes,餐+盘+餐具,2,HC20260810-002-v01-S07-firstframe.png,HC20260810-002-v01-S07-candidate-a.png,HC20260810-002-v01-S07-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S08,36.70,42.40,下午感受,人物回办公位前停一步，再自然落座,走廊中远景转办公位侧景,人物走两步并坐下,后期确定性叠加：清醒与专注只作主观记录,safe-reuse,new,no,,1,HC20260810-002-v01-S08-firstframe.png,HC20260810-002-v01-S08-candidate-a.png,,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-002,S09,42.40,48.60,边界,餐盘与空椅静态画面，后期边界文字进入,无相机运动,无AI动态源；餐桌静物板,后期确定性叠加：不追次数 / 不用挨饿补偿,deterministic-board,deterministic-board,yes,餐+盘,2,HC20260810-002-v01-S09-firstframe.png,HC20260810-002-v01-S09-candidate-a.png,HC20260810-002-v01-S09-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-002,S10,48.60,55.00,保存理由,暖米白结束板中央是一组暂停符号,无相机运动,无AI动态源；确定性结束板,后期确定性叠加：中途停顿 / 下顿再试,deterministic-board,deterministic-board,no,,1,HC20260810-002-v01-S10-firstframe.png,HC20260810-002-v01-S10-candidate-a.png,,not-applicable,matrix-locked-pending-generation
HC20260810-003,S01,00.00,04.00,三项清单钩子,人物看向餐桌上已经添加过的餐盘,高位斜俯中景，缓慢下降,人物只做一次停顿与看盘动作,后期确定性叠加：份量 / 停下 / 下午安排,new,new,yes,cover+餐+盘,2,HC20260810-003-v01-S01-firstframe.png,HC20260810-003-v01-S01-candidate-a.png,HC20260810-003-v01-S01-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S02,04.00,09.00,先放稳,人物把盛菜勺放回公用盘边,手部与餐桌关系近景固定,手只完成放勺动作,后期确定性叠加：承认吃多 / 不慌补偿,new,new,yes,手+餐+盘+勺,2,HC20260810-003-v01-S02-firstframe.png,HC20260810-003-v01-S02-candidate-a.png,HC20260810-003-v01-S02-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
HC20260810-003,S03,09.00,14.00,观察开始份量,空碗与添加后的餐盘以静物对照,俯拍静物，确定性切换,无AI动态源；两张餐桌静物板,后期确定性叠加：开始盛多少 / 是否添加,deterministic-board,deterministic-board,yes,餐+盘+碗,2,HC20260810-003-v01-S03-firstframe.png,HC20260810-003-v01-S03-candidate-a.png,HC20260810-003-v01-S03-candidate-b.png,not-applicable,matrix-locked-pending-generation
HC20260810-003,S04,14.00,19.50,观察停下时机,人物准备再夹菜时停手,侧面手臂中近景，焦点落在停手,人物只做伸手后停住,后期确定性叠加：什么时候已经觉得够,new,new,yes,手,2,HC20260810-003-v01-S04-firstframe.png,HC20260810-003-v01-S04-candidate-a.png,HC20260810-003-v01-S04-candidate-b.png,character-reference-v01.png,matrix-locked-pending-generation
