episode_id,shot_id,selected_candidate,candidate_count,independent_candidate_count,rejected_candidates,decision_record,formal_file,width,height,formal_sha256,preview_file,preview_sha256,documentation_status
HC20260810-004,S01,base/S01-candidate-C-deterministic-selected-source.png,4,3,"base/S01-candidate-A.png; _rejected/S01-candidate-B.png; _rejected/HC20260810-004-v01-S01-old-formal-rejected-posture-ambiguity.png","2026-08-14确定性语义修复：入选C以7块纵向日光/品牌色板明确交替呈现坐、走、坐、走、坐、走、坐。第1/3/5/7块的坐姿同时具备高椅背、水平椅面、弯膝与落地脚；第2/4/6块的步行姿态具备分腿和反向摆臂，25%缩略图仍能直接区分两种状态。桃色坐姿块左对齐、青绿色步行块右对齐，形成稳定的编辑节奏；全部动作和核心图形处于9:16安全区。淘汰A及其旧formal归档因为7个人形姿态近似，无法可靠表达坐走交替；淘汰B为中心圆环加7个圆点，既无姿态也无线性先后。新C无文字、数字、Logo、水印、UI、纸笔本、医疗器械或专业身份信号；可编辑SVG源为base/S01-candidate-C-deterministic-selected-source.svg，SHA-256=d0ba0ff6e50257649ff011354d8afdc44a93b6cce5e8e44b6c5dadd3364c6ab3。4条PNG证据路径对应3个独立图像字节源。",HC20260810-004-v01-S01-firstframe.png,1080,1920,18c8c7da776a75dacc1329f2bd40a489d95ae29ddf480fc51c0f1afe1d8c984f,storyboard_with_copy/HC20260810-004-v01-S01-storyboard-with-copy.png,ab4bcff1240588b4451c6778e9cc07f6fcc20b97237067c08f6b8c25f3cfde8c,deterministic-semantic-repair-pass; paths-hashes-and-candidate-visuals-verified
HC20260810-004,S02,base/S02-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S02-firstframe.png,1080,1920,e9d089b1b5e08b59efeccfae05c3d98f28620d8d01690a9c5216a1614368f45d,storyboard_with_copy/HC20260810-004-v01-S02-storyboard-with-copy.png,07a3b4199d58f4ac89dd821188b1a90a65b19ccdafb9c60d241c772b7f8731df,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S03,base/S03-candidate-A.png,2,2,_rejected/S03-candidate-B.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S03-firstframe.png,1080,1920,950757e90a34ee63a3377b026dacd0d2d2bc28120f75c4adb0b31cdbc6815cee,storyboard_with_copy/HC20260810-004-v01-S03-storyboard-with-copy.png,65d61981099807d3d04e75ac7e6dc448ee34027edabd5d1bae82b8bf44b4afee,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S04,base/S04-candidate-B.png,2,2,_rejected/S04-candidate-A.png,2026-08-14逐图复核：入选B的人物脸发与米色开衫/蓝色上衣符合参考，完整坐在长椅上，目光向下、双手自然平放大腿、双脚着地，安静感受片刻的动作明确。淘汰A抬头向前/上方，更像等人或观察路线；其肢体数量虽正常但情绪动作较弱。两图均无手机、纸笔本、文字、Logo、水印或医疗器械；入选B全身与长椅处于9:16安全区。,HC20260810-004-v01-S04-firstframe.png,1080,1920,a4acd32ca95071875366d6ad082221ad41e8f1e949301a4b78b1d7df33034d1b,storyboard_with_copy/HC20260810-004-v01-S04-storyboard-with-copy.png,a23ccdc040437cf592feb68c86f578d99f9ca343af1e19372ef15c2f59483fab,paths-hashes-and-candidate-visuals-verified
HC20260810-004,S05,base/S05-candidate-A.png,2,2,_rejected/S05-candidate-B.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S05-firstframe.png,1080,1920,9b6be7190d64657d80b949214bc827c0ad2d39c43286cd2f99be5fabd2a7351e,storyboard_with_copy/HC20260810-004-v01-S05-storyboard-with-copy.png,f833282938c0283ee0f99fb2fef9994a9d8ccc99db7c6e21420997b0bf854c02,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S06,base/S06-candidate-A.png,2,2,_rejected/S06-candidate-B.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S06-firstframe.png,1080,1920,36fd7218d48a35b33f354e7c07c0ec42c3597113ad21cb27aa84006ed3dfaa96,storyboard_with_copy/HC20260810-004-v01-S06-storyboard-with-copy.png,c662f7bfe360ca29ba28bfbe8fbdfc37456d22938f023a0c19e3e79de2ba23f8,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S07,base/S07-candidate-C-phone-audit-selected-source.png,4,3,"base/S07-candidate-A.png; _rejected/S07-candidate-B.png; _rejected/HC20260810-004-v01-S07-old-formal-rejected-phone-ratio-camera-angle.png","2026-08-14手机审查修复：独立新候选C入选。同一人物在社区平坦路径出口站立停步并采用三分之二背侧构图；单部手机近正对镜头且四角完整；指尖与屏幕有空气间隔并避开中央70%；屏幕为均匀深青灰纯色。原图严格量测屏幕约115/53=2.17；外壳按暗色连通域阈值估计约2.13–2.17；均在合同2.0–2.2内但略高于2.08–2.12目标中心。淘汰A及其旧formal归档因为手机约1.5–1.7且非越肩；淘汰B因为人物坐在长椅而非路径出口停步。4条证据路径对应3个独立图像字节源。",HC20260810-004-v01-S07-firstframe.png,1080,1920,86f018f359ac4fb07d47a191a92ed1774f06e6803c34c31b261a0c5768d8958a,storyboard_with_copy/HC20260810-004-v01-S07-storyboard-with-copy.png,5a682a40a1733dedf4d4efca833429ebbe722629047e5911a012c1f47dc7731b,phone-audit-repaired; paths-hashes-and-candidate-visuals-verified
HC20260810-004,S08,base/S08-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S08-firstframe.png,1080,1920,62165c540f63c02a5ee6803b0fc08c3be195e274d003dace014cc165969ca24e,storyboard_with_copy/HC20260810-004-v01-S08-storyboard-with-copy.png,9318ea1072a05018ebf21d5c29bf1664b2c2628bed091234613610fcdcb4b933,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S09,base/S09-candidate-B.png,2,2,_rejected/S09-candidate-A.png,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S09-firstframe.png,1080,1920,87181d1586621c93b031fe4542c99056a2b6eeee2f8234bfac41498d68765705,storyboard_with_copy/HC20260810-004-v01-S09-storyboard-with-copy.png,c526b7c7762129f50c971c7b2f22e69347d41c9051801bfa353cb61b0ca4d01c,paths-and-hashes-verified; historical-reason-not-asserted
HC20260810-004,S10,base/S10-candidate-A.png,1,1,,historical qualitative selection/rejection reason not recorded in existing artifacts; no reason inferred during closeout,HC20260810-004-v01-S10-firstframe.png,1080,1920,6729c508cf00d90ab3434f3770fb18da72160abd5c38941ea0cfdf2883e7b608,storyboard_with_copy/HC20260810-004-v01-S10-storyboard-with-copy.png,7e1c3e0d3e8002807cc15cfa71b2588e310db898d92d1e95571c0b74a2cf6319,paths-and-hashes-verified; historical-reason-not-asserted
